Epoch,Phase,Operation,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,temp_files,temp_bytes,checkpoints_timed,checkpoints_req,buffers_checkpoint,buffers_clean,buffers_backend,buffers_alloc,checkpoint_write_time,checkpoint_sync_time,wal_bytes,wal_records,wal_fpi,wal_buffers_full,Runtime(ms),Throughput(ops/sec),Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),WatcherSamples,WatcherCPU_min,WatcherCPU_q1,WatcherCPU_median,WatcherCPU_q3,WatcherCPU_max,WatcherMemoryKB_min,WatcherMemoryKB_q1,WatcherMemoryKB_median,WatcherMemoryKB_q3,WatcherMemoryKB_max
58,clean-run,READ,53,6126837,3647762,3636801,365276,1,0,0,0,681,43991,526594766,563252907,6522673785,11878485775,1145523894,169987107,23603434922220,27815412885,3680946723,80150617,31411,3183.598102575531,100000,309.73558,146,133631,447,949,29,39.3,85.2,88.7,90.2,90.8,352688.0,1869012.0,1935012.0,1948200.0,1967428.0
59,clean-run,READ,53,6153625,3684688,3673647,370681,18,0,0,0,681,44040,531209470,563352494,6526085789,11881097277,1146481097,170034893,23630047937878,27849483781,3686180300,80188698,31679,3156.6652987783705,100000,312.47926,151,135551,453,940,30,30.7,84.77499999999999,88.15,89.75,90.6,272168.0,1343237.0,1390942.0,1404831.0,1431436.0
60,clean-run,READ,53,6187443,3764898,3753937,376112,1,0,0,0,681,44090,536184973,563419090,6529594125,11883767452,1147508524,170072793,23657116773303,27884287848,3691492437,80206041,32420,3084.5157310302284,100000,319.82952,149,139903,454,991,30,34.0,86.25,88.9,90.35,91.1,254912.0,1020723.0,1035020.0,1044749.0,1062592.0
61,clean-run,READ,53,6211505,3802336,3791375,381641,1,0,0,0,681,44141,541056939,563500899,6533225728,11886478860,1148545421,170130044,23684714314615,27919749753,3696903440,80223999,32514,3075.598203850649,100000,320.71174,151,153343,462,948,30,36.6,86.85,89.9,90.9,91.3,297212.0,1123067.0,1142756.0,1149960.0,1158588.0
62,clean-run,READ,53,6253850,3912319,3901358,387160,8,0,0,0,681,44192,545903401,563580912,6536836248,11889196550,1149574380,170177878,23712406971068,27955236703,3702316554,80238378,33861,2953.250051681876,100000,333.35633,162,149247,469,971,32,37.3,86.05,89.19999999999999,90.125,90.8,282644.0,1180215.0,1208788.0,1214739.0,1274784.0
63,clean-run,READ,53,6289092,3983014,3972053,392615,1,0,0,0,681,44245,550973887,563652478,6540659704,11891995290,1150651300,170235008,23741064152874,27991933847,3707925451,80276102,34253,2919.452310746504,100000,338.02763,166,152447,472,988,32,40.0,86.475,89.45,90.6,91.2,382696.0,1228417.0,1251342.0,1259210.0,1291248.0
64,clean-run,READ,53,6322237,4063391,4052430,398238,1,0,0,0,681,44298,555760246,563719529,6544501121,11894790893,1151721823,170302041,23769793324815,28028599378,3713534807,80294078,35030,2854.695974878676,100000,345.94037,166,151039,489,1055,33,34.0,85.0,88.5,89.9,90.9,294360.0,1330964.0,1348368.0,1356876.0,1390640.0
65,clean-run,READ,53,6322119,4014285,4003324,403765,1,0,0,0,681,44352,560552243,563796790,6548689289,11897683929,1152790562,170377782,23799498763074,28066632706,3719219539,80309608,34200,2923.9766081871344,100000,337.60924,167,146815,487,1015,32,41.3,85.44999999999999,88.55000000000001,89.92500000000001,90.6,446412.0,1971237.0,2069944.0,2074544.0,2085804.0
66,clean-run,READ,53,6367667,4130970,4120009,409236,1,0,0,0,681,44406,565175489,563901779,6552919143,11900579523,1153890529,170447884,23829145531204,28104438130,3724916840,80323222,35602,2808.8309645525533,100000,351.16893,161,169727,501,1080,33,25.8,84.9,88.8,90.1,90.9,235436.0,1594220.0,1627860.0,1639396.0,1649664.0
67,clean-run,READ,53,6391598,4153228,4142267,414726,1,0,0,0,681,44461,569954823,563967089,6557032571,11903491046,1154976367,170518588,23859134635419,28142525203,3730763225,80338280,35706,2800.6497507421723,100000,352.16875,172,160767,508,1128,33,24.7,84.4,88.2,89.8,90.4,255132.0,1886972.0,1938096.0,1957160.0,1987816.0
