run_id,Epoch,value_size_p50,value_size_p90,value_size_p95,value_size_p99,value_size_max,frac_gt_2kb,frac_gt_8kb,frac_gt_32kb,est_toast_chunks_p95,est_toast_chunks_p99,est_toast_chunks_max
6,19,13800.0,22300.0,29500.0,65002.000000000044,7217500,1.0,1.0,0.0412,15.0,33.0,3616.0
6,20,14500.0,23400.0,31000.0,68403.00000000006,7596200,1.0,1.0,0.0468,16.0,35.0,3806.0
6,21,15200.0,24410.000000000036,32700.0,71907.00000000015,7968100,1.0,1.0,0.0523,17.0,37.0,3993.0
6,22,15800.0,25600.0,34200.0,74810.00000000022,8346200,1.0,1.0,0.0564,18.0,38.0,4182.0
6,23,16500.0,26610.000000000036,35700.0,78509.0000000002,8729300,1.0,1.0,0.0625,18.0,40.0,4374.0
6,24,17200.0,27800.0,37204.99999999993,82301.00000000003,9116200,1.0,1.0,0.0683,19.0,42.0,4568.0
6,25,17800.0,28900.0,38500.0,85306.00000000013,9482900,1.0,1.0,0.0768,20.0,43.0,4751.0
6,26,18500.0,30100.0,40300.0,88309.0000000002,9856900,1.0,1.0,0.0828,21.0,45.0,4939.0
6,27,19200.0,31100.0,41704.99999999993,92006.00000000013,10241000,1.0,1.0,0.0914,21.0,47.0,5131.0
6,28,19800.0,32200.0,43004.99999999993,95400.0,10612700,1.0,1.0,0.1015,22.0,48.0,5317.0
