run_name,epoch,timestamp_unix_ms,relation,phase,heap_blks_total,heap_blks_scanned,heap_blks_vacuumed,index_vacuum_count,max_dead_tuples,num_dead_tuples
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,25,1777551813039,usertable,scanning heap,5775,115,0,0,1680525,28
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,25,1777551814076,pg_toast.pg_toast_862726372,scanning heap,846130,1643,0,0,11184809,364
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,25,1777551815120,pg_toast.pg_toast_862726372,scanning heap,846130,84805,0,0,11184809,87585
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,25,1777551816157,pg_toast.pg_toast_862726372,scanning heap,846130,126841,0,0,11184809,94689
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,25,1777551817201,pg_toast.pg_toast_862726372,scanning heap,846130,218400,0,0,11184809,420362
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,25,1777551818238,pg_toast.pg_toast_862726372,scanning heap,846130,251188,0,0,11184809,547776
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,25,1777551819276,pg_toast.pg_toast_862726372,scanning heap,846130,283937,0,0,11184809,675068
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,25,1777551820313,pg_toast.pg_toast_862726372,scanning heap,846130,311485,0,0,11184809,782388
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,25,1777551821351,pg_toast.pg_toast_862726372,scanning heap,846130,332420,0,0,11184809,863941
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,25,1777551822389,pg_toast.pg_toast_862726372,scanning heap,846130,353674,0,0,11184809,946629
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,25,1777551823426,pg_toast.pg_toast_862726372,scanning heap,846130,370172,0,0,11184809,1010822
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,25,1777551824465,pg_toast.pg_toast_862726372,scanning heap,846130,388855,0,0,11184809,1083432
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,25,1777551825505,pg_toast.pg_toast_862726372,scanning heap,846130,404278,0,0,11184809,1143389
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,25,1777551826542,pg_toast.pg_toast_862726372,scanning heap,846130,422160,0,0,11184809,1212618
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,25,1777551827580,pg_toast.pg_toast_862726372,scanning heap,846130,424764,0,0,11184809,1222693
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,25,1777551828617,pg_toast.pg_toast_862726372,scanning heap,846130,574557,0,0,11184809,1801576
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,25,1777551829654,pg_toast.pg_toast_862726372,scanning heap,846130,636388,0,0,11184809,2041530
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,25,1777551830694,pg_toast.pg_toast_862726372,scanning heap,846130,697781,0,0,11184809,2280902
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,25,1777551831732,pg_toast.pg_toast_862726372,vacuuming indexes,846130,846130,0,0,11184809,2842240
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,25,1777551832770,pg_toast.pg_toast_862726372,vacuuming indexes,846130,846130,0,0,11184809,2842240
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,25,1777551833807,pg_toast.pg_toast_862726372,vacuuming indexes,846130,846130,0,0,11184809,2842240
